final_price,location,ownership_form,number_of_rooms,living_area,balcony,year_of_construction,fee,operational_cost,leasehold_fee,housing_association,sale_year,sale_month,sale_day,floor_number,top_floor_number,elevator_presence,latitude,longitude
1895000,"Gamla Väster, Malmö kommun",Bostadsrätt,1,30,0,1929,1715,NA,NA,NA,2024,2,26,2,3,0,55.6055174,12.993356171389639
1600000,"Dockan, Malmö kommun",Bostadsrätt,1,33,1,2023,2944,2280,NA,NA,2024,2,20,4,7,1,55.6130851,12.9880223
925000,"Ellstorp, Malmö kommun",Bostadsrätt,1,34,1,1938,3035,NA,NA,NA,2024,2,18,3,6,1,55.6035167,13.0293407
1675000,"Västra Hamnen, Malmö kommun",Bostadsrätt,1,34,1,2017,3374,2280,NA,NA,2024,2,11,4,5,1,55.6118812,12.9794571
600000,"Lönngården, Malmö kommun",Bostadsrätt,1,31,1,1953,3126,NA,NA,NA,2024,2,11,1,4,0,55.5835069,13.0236184
1050000,"Ellstorp, Malmö kommun",Bostadsrätt,1,35,0,1942,2581,NA,NA,NA,2024,2,11,3,4,0,55.6026785,13.0334435
1050000,"Sorgenfri, Malmö kommun",Bostadsrätt,2,34,1,1940,2804,7560,NA,NA,2024,2,8,4,4,0,55.5928561,13.0239507
1260000,"Slottsstaden, Malmö kommun",Bostadsrätt,1,30,NA,1952,2159,NA,NA,NA,2024,2,7,4,4,0,55.5950841,12.971241
1325000,"Hästhagen, Malmö kommun",Bostadsrätt,1,32.4,0,1943,1992,NA,NA,NA,2024,2,5,1,4,1,55.5967978,12.9915113
1560000,"Västra Hamnen, Malmö kommun",Bostadsrätt,1,35,1,2023,3394,NA,NA,NA,2024,2,2,5,NA,1,55.6127345,12.9805326
1550000,"Västra Hamnen, Malmö kommun",Bostadsrätt,1,35,0,NA,3394,NA,NA,NA,2024,2,2,1,6,1,55.6127345,12.9805326
1390000,"Elinegård, Malmö kommun",Bostadsrätt,1,35,1,2022,2180,8220,NA,NA,2024,2,2,4,5,1,55.5584257,12.9457379
