property_id,url,area_range,scraped_at
995145,https://www.hemnet.se/salda/lagenhet-4rum-centrum-nissastrand-halmstads-kommun-sven-jonsons-gata-4a-995145,125-127m²,2026-04-06T19:43:19.522624
2685944382247813916,https://www.hemnet.se/salda/lagenhet-5rum-hindas-harryda-kommun-erik-wastvagen-27-2685944382247813916,125-127m²,2026-04-06T19:43:19.522632
2556348865009662062,https://www.hemnet.se/salda/lagenhet-4rum-kastanjegarden-malmo-kommun-ganglatsvagen-113c-2556348865009662062,125-127m²,2026-04-06T19:43:19.522635
9107808610613675469,https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-nedre-stockholms-kommun-garvargatan-3-9107808610613675469,125-127m²,2026-04-06T19:43:19.522637
365671,https://www.hemnet.se/salda/lagenhet-5rum-bjarred-lomma-kommun-lobovagen-2-365671,125-127m²,2026-04-06T19:43:19.522639
6100687314570883531,https://www.hemnet.se/salda/lagenhet-5rum-vikaholm-vaxjo-kommun-gulli-petrinis-vag-18-6100687314570883531,125-127m²,2026-04-06T19:43:19.522642
181100,https://www.hemnet.se/salda/lagenhet-5rum-vaster-jonkopings-kommun-kungsgatan-2d-181100,125-127m²,2026-04-06T19:43:19.522644
418433,https://www.hemnet.se/salda/lagenhet-5rum-kumlaby-kumla-kommun-flinkagatan-36-418433,125-127m²,2026-04-06T19:43:19.522646
1255905,https://www.hemnet.se/salda/lagenhet-6rum-skarpnack-stockholms-kommun-vinggatan-34-1255905,125-127m²,2026-04-06T19:43:19.522648
829107598982120816,https://www.hemnet.se/salda/lagenhet-6rum-vega-haninge-kommun-vega-alle-116-829107598982120816,125-127m²,2026-04-06T19:43:19.522650
619973,"https://www.hemnet.se/salda/lagenhet-5rum-maria-stockholms-kommun-hornsgatan-47,-1-tr-619973",125-127m²,2026-04-06T19:43:19.522653
1443071,https://www.hemnet.se/salda/lagenhet-4rum-city-malmo-kommun-stora-nygatan-15-1443071,125-127m²,2026-04-06T19:43:19.522655
5533700582221898550,"https://www.hemnet.se/salda/lagenhet-5rum-vasastan-roda-bergen-stockholms-kommun-vanadisplan-8,-1,5tr-5533700582221898550",125-127m²,2026-04-06T19:43:19.522658
1110755408015458627,https://www.hemnet.se/salda/lagenhet-6rum-klostergarden-lunds-kommun-blidvadersvagen-6g-1110755408015458627,125-127m²,2026-04-06T19:43:19.522660
746541,"https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-grev-turegatan-71,-3-tr-746541",125-127m²,2026-04-06T19:43:19.522663
307242,https://www.hemnet.se/salda/lagenhet-4rum-hollviken-vellinge-kommun-ivars-vag-3-307242,125-127m²,2026-04-06T19:43:19.522666
7207744952720281355,https://www.hemnet.se/salda/lagenhet-5rum-rosendal-uppsala-kommun-torgny-segerstedts-alle-94-7207744952720281355,125-127m²,2026-04-06T19:43:19.522668
994476,"https://www.hemnet.se/salda/lagenhet-4,5rum-varmdo-fagelbro-varmdo-kommun-fagelbrostigen-613-994476",125-127m²,2026-04-06T19:43:19.522671
195731,"https://www.hemnet.se/salda/lagenhet-4rum-vasastan-stockholms-kommun-radmansgatan-55,-5-tr-195731",125-127m²,2026-04-06T19:43:19.522673
324761,https://www.hemnet.se/salda/lagenhet-4rum-sodra-ratorp-karlstads-kommun-ratorps-alle-60-324761,125-127m²,2026-04-06T19:43:19.522676
675442,https://www.hemnet.se/salda/lagenhet-5rum-torvalla-ostersunds-kommun-blavedsvagen-5-675442,125-127m²,2026-04-06T19:43:19.522678
7505449952425428268,https://www.hemnet.se/salda/lagenhet-4rum-kvarnbyvallen-molndals-kommun-kvarnbyvallen-13-7505449952425428268,125-127m²,2026-04-06T19:43:19.522681
174618,https://www.hemnet.se/salda/lagenhet-5rum-fyllinge-halmstads-kommun-alvagen-16-174618,125-127m²,2026-04-06T19:43:19.522683
547494,https://www.hemnet.se/salda/lagenhet-4rum-centrum-lulea-kommun-bjorngatan-10-547494,125-127m²,2026-04-06T19:43:19.522686
6001569957073881236,https://www.hemnet.se/salda/lagenhet-3rum-centrum-vaxjo-kommun-norrgatan-24-6001569957073881236,125-127m²,2026-04-06T19:43:19.522688
1204065,https://www.hemnet.se/salda/lagenhet-4rum-linnestaden-goteborgs-kommun-plantagegatan-9-a-1204065,125-127m²,2026-04-06T19:43:19.522691
5815255678008688076,"https://www.hemnet.se/salda/lagenhet-4,5rum-sundbyberg-ursvik-sundbybergs-kommun-forskningsringen-84-5815255678008688076",125-127m²,2026-04-06T19:43:19.522694
586113,https://www.hemnet.se/salda/lagenhet-3rum-vasastaden-goteborgs-kommun-aschebergsgatan-24-586113,125-127m²,2026-04-06T19:43:19.522697
1080980,"https://www.hemnet.se/salda/lagenhet-5rum-kungsholmen-stockholms-kommun-hantverkargatan-79b,-2tr-1080980",125-127m²,2026-04-06T19:43:19.522699
1244630369524696888,https://www.hemnet.se/salda/lagenhet-4rum-ostra-villastaden-nykopings-kommun-hoglundavagen-1b-1244630369524696888,125-127m²,2026-04-06T19:43:19.522702
489695,https://www.hemnet.se/salda/lagenhet-5rum-barslov-helsingborgs-kommun-morellgranden-3-489695,125-127m²,2026-04-06T19:43:19.522704
7859888397760415802,https://www.hemnet.se/salda/lagenhet-4rum-hovas-goteborgs-kommun-lillgardens-grand-1-7859888397760415802,125-127m²,2026-04-06T19:43:19.522707
477960,https://www.hemnet.se/salda/lagenhet-5rum-fagelbro-varmdo-kommun-fagelbrostigen-306-477960,125-127m²,2026-04-06T19:43:19.522709
8897097555329157922,"https://www.hemnet.se/salda/lagenhet-4,5rum-limhamn-on-malmo-kommun-lotsgatan-206-8897097555329157922",125-127m²,2026-04-06T19:43:19.522712
9132828751712070579,https://www.hemnet.se/salda/lagenhet-4rum-soderkulla-malmo-kommun-kungsornsgatan-8-9132828751712070579,125-127m²,2026-04-06T19:43:19.522714
3763110609470071139,https://www.hemnet.se/salda/lagenhet-5rum-havstena-skovde-kommun-frostagardsvagen-68-3763110609470071139,125-127m²,2026-04-06T19:43:19.522717
483589,"https://www.hemnet.se/salda/lagenhet-4,5rum-framre-luthagen-uppsala-kommun-vasagatan-5b-483589",125-127m²,2026-04-06T19:43:19.522719
1502300,https://www.hemnet.se/salda/lagenhet-5rum-karlberga-park-sodertalje-kommun-karlbergastigen-10-1502300,125-127m²,2026-04-06T19:43:19.522721
1144841,https://www.hemnet.se/salda/lagenhet-5rum-triangeln-malmo-kommun-norra-skolgatan-3-1144841,125-127m²,2026-04-06T19:43:19.522724
2219745201187967847,https://www.hemnet.se/salda/lagenhet-4rum-kungsangen-uppsala-kommun-sagargatan-6b-2219745201187967847,125-127m²,2026-04-06T19:43:19.522726
1396513,https://www.hemnet.se/salda/lagenhet-5rum-munkegarde-kungalvs-kommun-munkegardegatan-114-1396513,125-127m²,2026-04-06T19:43:19.522729
458931,https://www.hemnet.se/salda/lagenhet-6rum-timmervik-kode-stenungsund-kungalv-stenungsunds-kommun-myrtorpsvagen-4a-458931,125-127m²,2026-04-06T19:43:19.522731
198635,https://www.hemnet.se/salda/lagenhet-5rum-centrum-landskrona-kommun-fiskargranden-8-e-198635,125-127m²,2026-04-06T19:43:19.522734
65906,https://www.hemnet.se/salda/lagenhet-4rum-kungsbacka-tolo-kungsbacka-kommun-skordevagen-30-65906,125-127m²,2026-04-06T19:43:19.522736
2975396212076390168,https://www.hemnet.se/salda/lagenhet-5rum-mollevangen-lunds-kommun-margaretavagen-3e-2975396212076390168,125-127m²,2026-04-06T19:43:19.522739
89038,https://www.hemnet.se/salda/lagenhet-5rum-linne-nordostpassagen-goteborgs-kommun-nordostpassagen-18-89038,125-127m²,2026-04-06T19:43:19.522741
366608,"https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-karlavagen-77,-3-tr-366608",125-127m²,2026-04-06T19:43:19.522744
747511,https://www.hemnet.se/salda/lagenhet-5rum-visby-gotlands-kommun-greta-arvidssons-gata-23f-radhus-f-747511,125-127m²,2026-04-06T19:43:19.522746
1348394,"https://www.hemnet.se/salda/lagenhet-5,5rum-sverige-mariefreds-strand-1348394",125-127m²,2026-04-06T19:43:19.522749
756482,https://www.hemnet.se/salda/lagenhet-4rum-slussen-city-malmo-kommun-slussgatan-12k-756482,125-127m²,2026-04-06T19:43:19.522751
1023268,https://www.hemnet.se/salda/lagenhet-5rum-sodermalm-stockholms-kommun-sankt-paulsgatan-14-1023268,125-127m²,2026-04-06T19:43:19.522753
601008,"https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-norr-malarstrand-26,-5-6-tr-vindsetage-601008",125-127m²,2026-04-06T19:43:19.522756
276870,"https://www.hemnet.se/salda/lagenhet-6rum-henriksdal-nacka-kommun-henriksdalsringen-1,-5tr-276870",125-127m²,2026-04-06T19:43:19.522759
2515977614532476786,https://www.hemnet.se/salda/lagenhet-4rum-ostra-forstaden-ystads-kommun-strindbergs-vag-9-2515977614532476786,125-127m²,2026-04-06T19:43:19.522762
4089730987436079074,https://www.hemnet.se/salda/lagenhet-5rum-enkopings-kommun-hus-d-7-4089730987436079074,125-127m²,2026-04-06T19:43:19.522764
312849,https://www.hemnet.se/salda/lagenhet-4rum-vadstena-centralt-vadstena-kommun-parkgatan-11-312849,125-127m²,2026-04-06T19:43:19.522767
7704372905523854632,https://www.hemnet.se/salda/lagenhet-5rum-liljeholmskajen-stockholms-kommun-sturehillsvagen-7-7704372905523854632,125-127m²,2026-04-06T19:43:19.522769
1094016,https://www.hemnet.se/salda/lagenhet-4rum-kastanjegarden-malmo-kommun-ganglatsvagen-111b-1094016,125-127m²,2026-04-06T19:43:19.522771
1096268,https://www.hemnet.se/salda/lagenhet-5rum-satra-gavle-kommun-akerbarsvagen-31-1096268,125-127m²,2026-04-06T19:43:19.522774
630311,https://www.hemnet.se/salda/lagenhet-5rum-herserud-lidingo-kommun-bjornvagen-11-630311,125-127m²,2026-04-06T19:43:19.522777
627135,https://www.hemnet.se/salda/lagenhet-4rum-rorsjostaden-malmo-kommun-stenbocksgatan-12-foreningsgatan-51-627135,125-127m²,2026-04-06T19:43:19.522780
1220593,"https://www.hemnet.se/salda/lagenhet-5,5rum-jakobsberg-jarfalla-kommun-vibblabyvagen-18-1220593",125-127m²,2026-04-06T19:43:19.522782
993703,https://www.hemnet.se/salda/lagenhet-5rum-oxie-malmo-kommun-lertegelvagen-96-993703,125-127m²,2026-04-06T19:43:19.522785
1025954,https://www.hemnet.se/salda/lagenhet-3rum-potatisakern-malmo-kommun-marietorps-alle-9-1025954,125-127m²,2026-04-06T19:43:19.522787
612497,https://www.hemnet.se/salda/lagenhet-5rum-rorsjostaden-malmo-kommun-stenbocksgatan-4a-612497,125-127m²,2026-04-06T19:43:19.522790
1475731,https://www.hemnet.se/salda/lagenhet-3rum-lorensberg-goteborgs-kommun-engelbrektsgatan-37-1475731,125-127m²,2026-04-06T19:43:19.522793
347677,https://www.hemnet.se/salda/lagenhet-5rum-nedre-haga-sundsvalls-kommun-riddargatan-11b-347677,125-127m²,2026-04-06T19:43:19.522795
2451187005271134112,"https://www.hemnet.se/salda/lagenhet-5rum-hammarby-sjostad-stockholms-kommun-korphoppsgatan-21,-5-tr-2451187005271134112",125-127m²,2026-04-06T19:43:19.522798
1057706,"https://www.hemnet.se/salda/lagenhet-5rum-kronan-lulsundsberget-lulea-kommun-kompanivagen-21,-15-tr-1057706",125-127m²,2026-04-06T19:43:19.522801
1295529,https://www.hemnet.se/salda/lagenhet-5rum-kummelnas-gard-nacka-kommun-lovbergavagen-33-1295529,125-127m²,2026-04-06T19:43:19.522803
6540687184348371070,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-linnegatan-58b-6540687184348371070,125-127m²,2026-04-06T19:43:19.522806
3356490144760960188,https://www.hemnet.se/salda/lagenhet-6rum-visby-innerstad-gotlands-kommun-adelsgatan-21-b-3356490144760960188,125-127m²,2026-04-06T19:43:19.522809
1181429,https://www.hemnet.se/salda/lagenhet-4rum-sodra-ratorp-karlstads-kommun-trumslagarens-gata-9-1181429,125-127m²,2026-04-06T19:43:19.522812
