iter	RMSE
0	1161074.047
1	1128595.082
2	1097830.344
3	1068804.028
4	1041393.992
5	1015864.988
6	991958.4338
7	968917.5976
8	947037.0202
9	926523.0899
10	907402.5795
11	889174.908
12	871006.9315
13	852783.9163
14	837096.275
15	822315.4026
16	807446.3688
17	794015.8633
18	779053.9272
19	765362.4154
20	753011.3984
21	740298.4171
22	728574.6041
23	716183.4475
24	704785.6674
25	694116.0907
26	683745.4846
27	674649.2286
28	664715.566
29	656056.7481
30	647088.7349
31	639154.5662
32	630051.022
33	622470.7428
34	615212.4277
35	608214.2761
36	601397.1899
37	594793.0921
38	588497.109
39	582268.3035
40	577037.0191
41	571482.3492
42	566370.3102
43	561138.5829
44	556532.1261
45	552169.2965
46	547841.8579
47	543772.4743
48	539675.7544
49	535208.5655
50	530972.8483
51	527389.7106
52	523936.8346
53	520242.7963
54	516946.3476
55	513684.482
56	510683.8739
57	507192.0069
58	504356.5024
59	501655.851
60	499387.5639
61	496804.7461
62	494088.5431
63	491416.1605
64	489035.6343
65	486658.3075
66	484676.4906
67	482622.4193
68	480554.9882
69	478804.3638
70	476903.6094
71	475116.067
72	473512.9135
73	471749.3779
74	470024.7073
75	468625.479
76	467090.8462
77	465780.871
78	464363.1356
79	462888.976
80	461640.2668
81	460473.5881
82	459076.309
83	458069.0633
84	457137.113
85	456012.6799
86	454697.1401
87	453522.0682
88	452045.9003
89	451089.5638
90	449895.9697
91	449053.5945
92	447592.6693
93	446285.7126
94	445178.6021
95	444317.9499
96	443311.0193
97	441960.8053
98	441191.0551
99	440374.5428
100	439632.2927
101	438661.3414
102	437443.2346
103	436388.8087
104	435636.0264
105	434877.4279
106	433681.8287
107	432840.318
108	431852.3188
109	430831.3506
110	430163.8351
111	429249.653
112	428300.3139
113	427496.419
114	426839.0305
115	426228.7262
116	425479.538
117	424892.8513
118	424185.7115
119	423663.7519
120	423002.809
121	422545.7144
122	421636.0594
123	420861.5929
124	420210.0455
125	419751.3131
126	418900.2169
127	418080.5441
128	417447.7419
129	416554.7029
130	416113.5376
131	415491.0724
132	414801.716
133	414157.4847
134	413716.2146
135	413223.9613
136	412564.1539
137	412085.5059
138	411523.4332
139	410953.8998
140	410611.3955
141	410075.7438
142	409620.0385
143	408905.737
144	408305.1793
145	407590.2151
146	407156.2117
147	406791.1573
148	406052.3651
149	405624.8911
150	405235.5201
